session_code,experiment_type,n_part_requested,n_part_consented,n_part_finished,start_time,duration,total_cost
5ydhsfg6,Public Goods Game - IRB.v2,10,8,6,7/21/17 19:43,22.1,$14.70 
gbwspag3,Public Goods Game - IRB.v2,10,10,7,7/26/17 15:41,107.0166667,$6.23 
89ykytnu,Public Goods Game - IRB.v2,10,10,9,7/27/17 20:32,23.45555556,$25.34 
ef0hzbwg,Public Goods Game - IRB.v2,10,9,5,7/28/17 14:11,22.01333333,$14.51 
jrseoprn,Public Goods Game - IRB.v2,10,8,5,8/8/17 13:48,21.75666667,$13.92 
7tbi6mwd,Public Goods Game - IRB.v2,10,6,5,8/8/17 17:48,22.80333333,$11.27 
pzv22f48,Public Goods Game - IRB.v2,10,7,5,8/16/17 15:05,20.22333333,$15.88 
frec209s,Public Goods Game - IRB.v2,10,9,8,8/16/17 16:57,21.91041667,$18.46 
wzq3kfp9,Public Goods Game - IRB.v2,10,9,7,8/16/17 17:28,26.25,$20.37 
aab8cga3,Public Goods Game - IRB.v2,10,10,5,8/16/17 18:40,26.14,$14.83 
kfn4hfj7,Public Goods Game - IRB.v2,5,4,3,8/24/17 17:02,25.36666667,$5.88 
r7gyn3n4,Public Goods Game - IRB.v2,5,5,4,8/24/17 18:00,24.90416667,$9.75 
vjdla1q9,Public Goods Game - IRB.v2,5,5,4,8/25/17 18:20,24.3875,$13.17 
ehcc5wgj,Public Goods Game - IRB.v2,5,5,4,8/30/17 15:30,18.93333333,$11.25 
ub8pim6i,Public Goods Game - IRB.v2,5,4,3,8/31/17 14:14,20.45,$8.69 
942arxyx,Public Goods Game - IRB.v2,5,3,2,8/31/17 14:20,14.64166667,$7.93 
emwpven2,Public Goods Game - IRB.v2,5,4,4,8/31/17 15:09,29.7,$8.43 
oi2esved,Public Goods Game - IRB.v2,5,3,2,8/31/17 21:12,21.23333333,$4.73 
2m9rd2cp,Public Goods Game - IRB.v2,20,20,11,9/7/17 16:45,35.25454545,$43.09 
31f1vzlc,Public Goods Game - IRB.v2,20,17,9,9/8/17 14:17,30.9462963,$31.71 
ya61mn6p,Public Goods Game - IRB.v2,20,6,5,9/8/17 16:25,32.41333333,$13.14 
bquung7a,Public Goods Game - IRB.v2,20,17,13,9/11/17 18:36,29.69871795,$43.73 
ty1ttrub,Public Goods Game - IRB.v2,20,20,0,11/29/17 22:08,0,$10.87 
i0wkxelq,Public Goods Game - IRB.v2,20,14,11,9/12/17 17:17,25.94242424,$33.22 
eu7tcyrg,Public Goods Game - IRB.v2,20,16,12,9/19/17 17:09,31.43472222,$36.36 
krab6ohp,Public Goods Game - IRB.v2,20,7,3,9/26/17 20:04,29.84444444,$14.35 
s14j5qtb,Public Goods Game - IRB.v2,20,14,11,10/2/17 17:16,30.83636364,$31.75 
wc7b7s80,Public Goods Game - IRB.v2,20,5,3,10/3/17 17:07,28.98888889,$8.01 
ltg4dv3d,Public Goods Game - IRB.v2,15,14,9,10/23/17 17:38,33.12222222,$32.20 
oflc49un,Public Goods Game - IRB.v2,15,10,7,10/23/17 18:22,21.74047619,$19.75 
h504sxxm,Public Goods Game - IRB.v2,15,6,2,10/24/17 2:49,34.36666667,$12.94 
odl6fbvj,Public Goods Game - IRB.v2,15,8,5,10/25/17 15:01,30.81666667,$20.18 
whxk45wo,Public Goods Game - IRB.v2,15,14,8,10/30/17 13:44,25.95833333,$28.13 
g1ua1q1b,Public Goods Game - IRB.v2,15,10,9,10/30/17 15:29,29.1537037,$26.80 
7otptmk2,Public Goods Game - IRB.v2,15,14,9,10/30/17 16:34,30.92037037,$34.50 
624bh00r,Public Goods Game - IRB.v2,15,5,3,10/30/17 19:52,28.61666667,$11.34 
zt085499,Public Goods Game - IRB.v2,15,13,6,10/31/17 13:50,30.77777778,$27.56 
nieeagox,Public Goods Game - IRB.v2,15,9,6,11/1/17 14:59,31.71111111,$18.54 
239cmkfa,Public Goods Game - IRB.v2,15,4,4,11/2/17 17:31,27.41666667,$11.08 
x15ibc79,Public Goods Game - IRB.v2,15,10,8,11/6/17 16:14,24.29583333,$23.87 
6i5z0oiv,Public Goods Game - IRB.v2,15,9,6,11/6/17 18:09,29.08611111,$17.34 
xqx91tvj,Public Goods Game - IRB.v2,15,14,9,11/8/17 16:56,26.38703704,$30.29 
nz9iv9en,Public Goods Game - IRB.v2,15,8,5,11/8/17 17:39,24.18666667,$18.21 
0mv7j8p9,Public Goods Game - IRB.v2,15,6,4,11/9/17 14:45,28.99583333,$10.71 
6lk8ipmc,Public Goods Game - IRB.v2,15,4,2,11/9/17 15:37,32.03333333,$7.44 
ybcwk6k2,Public Goods Game - IRB.v2,15,12,5,11/10/17 16:39,27.57666667,$20.50 
s4b2hm2f,Public Goods Game - IRB.v2,15,13,7,11/13/17 13:59,29.39047619,$28.23 
j8q7437i,Public Goods Game - IRB.v2,15,7,5,11/13/17 17:26,25.02666667,$15.84 
