session_code,experiment_type,n_part_requested,n_part_consented,n_part_finished,start_time,duration,total_cost
wiii46il,Public Goods Game - IRB.v2,5.0,4,3,07-13-2017 17:19,30.933333333333334,$6.50
vhmb74qv,Public Goods Game - IRB.v2,5.0,4,3,07-18-2017 19:10,20.155555555555555,$8.44
5ydhsfg6,Public Goods Game - IRB.v2,10.0,8,6,07-21-2017 19:43,22.099999999999998,$14.70
gbwspag3,Public Goods Game - IRB.v2,10.0,10,7,07-26-2017 15:41,107.01666666666667,$6.23
89ykytnu,Public Goods Game - IRB.v2,10.0,10,9,07-27-2017 20:32,23.455555555555556,$25.34
ef0hzbwg,Public Goods Game - IRB.v2,10.0,9,5,07-28-2017 14:11,22.013333333333335,$14.51
3k2emuiz,Public Goods Game - IRB.v2 No Anagrams,10.0,9,7,07-31-2017 17:45,13.297619047619046,$16.57
20pmmmna,Public Goods Game - IRB.v2 No Anagrams,10.0,9,7,07-31-2017 18:13,17.311904761904763,$17.62
0j9gkpml,Public Goods Game - IRB.v2 No Anagrams,10.0,7,5,08-02-2017 02:27,14.116666666666665,$11.42
2mvuz23s,Public Goods Game - IRB.v2 No Anagrams,10.0,9,7,08-03-2017 15:32,13.078571428571426,$16.66
n4k2cx8b,Public Goods Game - IRB.v2 No Anagrams,10.0,9,7,08-03-2017 18:56,15.223809523809523,$16.07
hi2c3026,Public Goods Game - IRB.v2 No Anagrams,10.0,7,5,08-03-2017 19:19,14.193333333333333,$13.62
jrseoprn,Public Goods Game - IRB.v2,10.0,8,5,08-08-2017 13:48,21.756666666666668,$13.92
7pigyn3f,Public Goods Game - IRB.v2 No Anagrams,10.0,8,6,08-08-2017 16:55,14.9,$12.84
7tbi6mwd,Public Goods Game - IRB.v2,10.0,6,5,08-08-2017 17:48,22.803333333333335,$11.27
4fs4fgfk,Public Goods Game - IRB.v2 No Anagrams,10.0,11,7,08-11-2017 16:37,25.24761904761905,$21.57
5g3has3t,Public Goods Game - IRB.v2 No Anagrams,10.0,9,7,08-15-2017 18:43,25.75,$22.54
pzv22f48,Public Goods Game - IRB.v2,10.0,7,5,08-16-2017 15:05,20.223333333333336,$15.88
frec209s,Public Goods Game - IRB.v2,10.0,9,8,08-16-2017 16:57,21.910416666666666,$18.46
wzq3kfp9,Public Goods Game - IRB.v2,10.0,9,7,08-16-2017 17:28,26.25,$20.37
aab8cga3,Public Goods Game - IRB.v2,10.0,10,5,08-16-2017 18:40,26.139999999999997,$14.83
2413scgn,Public Goods Game - IRB.v2 No Anagrams,10.0,9,8,08-16-2017 21:22,16.297916666666666,$20.94
xwseefyz,Public Goods Game - IRB.v2 No Anagrams,5.0,4,4,08-24-2017 16:25,11.666666666666666,$7.54
kfn4hfj7,Public Goods Game - IRB.v2,5.0,4,3,08-24-2017 17:02,25.366666666666664,$5.88
q93srm0v,Public Goods Game - IRB.v2 No Anagrams,5.0,5,4,08-24-2017 17:38,15.633333333333333,$7.95
r7gyn3n4,Public Goods Game - IRB.v2,5.0,5,4,08-24-2017 18:00,24.90416666666667,$9.75
3nmquptg,Public Goods Game - IRB.v2 No Anagrams,5.0,5,5,08-24-2017 18:57,11.319999999999999,$10.06
8zxyni8a,Public Goods Game - IRB.v2 No Anagrams,5.0,3,1,08-24-2017 19:24,9.916666666666666,$5.28
h99ooh68,Public Goods Game - IRB.v2 No Anagrams,5.0,4,3,08-25-2017 02:25,11.633333333333333,$8.67
5dbazi94,Public Goods Game - IRB.v2 No Anagrams,5.0,4,4,08-25-2017 17:58,12.350000000000001,$7.81
vjdla1q9,Public Goods Game - IRB.v2,5.0,5,4,08-25-2017 18:20,24.3875,$13.17
gqdb8o26,Public Goods Game - IRB.v2 No Anagrams,5.0,3,3,08-29-2017 12:08,12.68888888888889,$5.23
b2n1ddig,Public Goods Game - IRB.v2 No Anagrams,5.0,5,4,08-30-2017 15:15,12.4875,$8.19
ehcc5wgj,Public Goods Game - IRB.v2,5.0,5,4,08-30-2017 15:30,18.93333333333333,$11.25
dhsdipge,Public Goods Game - IRB.v2,5.0,5,2,08-30-2017 18:22,46.7,$11.93
ub8pim6i,Public Goods Game - IRB.v2,5.0,4,3,08-31-2017 14:14,20.45,$8.69
942arxyx,Public Goods Game - IRB.v2,5.0,3,2,08-31-2017 14:20,14.641666666666666,$7.93
emwpven2,Public Goods Game - IRB.v2,5.0,4,4,08-31-2017 15:09,29.700000000000003,$8.43
xlc6rf1m,Public Goods Game - IRB.v2 No Anagrams,5.0,0,0,11-29-2017 22:08,0,0
8rqy84ck,Public Goods Game - IRB.v2 No Anagrams,5.0,3,3,08-31-2017 19:29,9.633333333333333,$5.60
wqrygjn5,Public Goods Game - IRB.v2 No Anagrams,5.0,5,4,08-31-2017 19:47,13.408333333333333,$7.44
oi2esved,Public Goods Game - IRB.v2,5.0,3,2,08-31-2017 21:12,21.233333333333334,$4.73
2m9rd2cp,Public Goods Game - IRB.v2,20.0,20,11,09-07-2017 16:45,35.25454545454546,$43.09
31f1vzlc,Public Goods Game - IRB.v2,20.0,17,9,09-08-2017 14:17,30.9462962962963,$31.71
ya61mn6p,Public Goods Game - IRB.v2,20.0,6,5,09-08-2017 16:25,32.413333333333334,$13.14
bquung7a,Public Goods Game - IRB.v2,20.0,17,13,09-11-2017 18:36,29.69871794871795,$43.73
ty1ttrub,Public Goods Game - IRB.v2,20.0,20,0,11-29-2017 22:08,0,$10.87
i0wkxelq,Public Goods Game - IRB.v2,20.0,14,11,09-12-2017 17:17,25.94242424242424,$33.22
hlzq44hl,Public Goods Game - IRB.v2 No Anagrams,20.0,21,14,09-13-2017 02:09,20.76547619047619,$40.20
fpnd0fca,Public Goods Game - IRB.v2 No Anagrams,20.0,13,6,09-13-2017 17:47,24.755555555555556,$25.68
xemkcr4x,Public Goods Game - IRB.v2 No Anagrams,20.0,13,7,09-13-2017 18:28,23.752380952380957,$22.89
btkq36sn,Public Goods Game - IRB.v2 No Anagrams,20.0,15,10,09-19-2017 16:24,19.485,$26.30
eu7tcyrg,Public Goods Game - IRB.v2,20.0,16,12,09-19-2017 17:09,31.43472222222222,$36.36
kdrbhzfy,Public Goods Game - IRB.v2 No Anagrams,20.0,12,6,09-19-2017 17:51,20.961111111111112,$19.24
krab6ohp,Public Goods Game - IRB.v2,20.0,7,3,09-26-2017 20:04,29.844444444444445,$14.35
i5mx6e03,Public Goods Game - IRB.v2 No Anagrams,20.0,11,4,09-28-2017 14:19,25.90833333333333,$19.68
0v7aydut,Public Goods Game - IRB.v2 No Anagrams,20.0,17,13,10-02-2017 17:01,12.961538461538462,$31.27
s14j5qtb,Public Goods Game - IRB.v2,20.0,14,11,10-02-2017 17:16,30.836363636363636,$31.75
bdjjsy69,Public Goods Game - IRB.v2 No Anagrams,20.0,5,4,10-02-2017 17:49,20.31666666666667,$9.91
wc7b7s80,Public Goods Game - IRB.v2,20.0,5,3,10-03-2017 17:07,28.98888888888889,$8.01
w6pz34i8,Public Goods Game - IRB.v2 No Anagrams,20.0,18,16,10-03-2017 18:37,24.34791666666666,$40.76
o0ktodt9,Public Goods Game - IRB.v2 No Anagrams,20.0,9,8,10-05-2017 14:07,19.75625,$20.42
ltg4dv3d,Public Goods Game - IRB.v2,15.0,14,9,10-23-2017 17:38,33.12222222222223,$32.20
oflc49un,Public Goods Game - IRB.v2,15.0,10,7,10-23-2017 18:22,21.74047619047619,$19.75
9582pncb,Public Goods Game - IRB.v2,15.0,3,1,10-23-2017 19:15,27.666666666666668,$6.54
h504sxxm,Public Goods Game - IRB.v2,15.0,6,2,10-24-2017 02:49,34.36666666666667,$12.94
enxjuor7,Public Goods Game - IRB.v2,15.0,2,0,11-29-2017 22:08,0,$0.39
odl6fbvj,Public Goods Game - IRB.v2,15.0,8,5,10-25-2017 15:01,30.81666666666667,$20.18
9pl9m1y7,Public Goods Game - IRB.v2,15.0,4,4,10-26-2017 18:31,23.483333333333334,$9.93
whxk45wo,Public Goods Game - IRB.v2,15.0,14,8,10-30-2017 13:44,25.95833333333333,$28.13
g1ua1q1b,Public Goods Game - IRB.v2,15.0,10,9,10-30-2017 15:29,29.1537037037037,$26.80
7otptmk2,Public Goods Game - IRB.v2,15.0,14,9,10-30-2017 16:34,30.920370370370375,$34.50
624bh00r,Public Goods Game - IRB.v2,15.0,5,3,10-30-2017 19:52,28.616666666666664,$11.34
zt085499,Public Goods Game - IRB.v2,15.0,13,6,10-31-2017 13:50,30.777777777777782,$27.56
76uwfvz1,Public Goods Game - IRB.v2,10.0,5,2,10-31-2017 14:59,25.658333333333335,$7.96
nieeagox,Public Goods Game - IRB.v2,15.0,9,6,11-01-2017 14:59,31.71111111111111,$18.54
239cmkfa,Public Goods Game - IRB.v2,15.0,4,4,11-02-2017 17:31,27.416666666666664,$11.08
x15ibc79,Public Goods Game - IRB.v2,15.0,10,8,11-06-2017 16:14,24.295833333333334,$23.87
6i5z0oiv,Public Goods Game - IRB.v2,15.0,9,6,11-06-2017 18:09,29.08611111111111,$17.34
dpss2k9p,Public Goods Game - IRB.v2,15.0,4,2,11-06-2017 19:13,20.733333333333334,$5.68
xqx91tvj,Public Goods Game - IRB.v2,15.0,14,9,11-08-2017 16:56,26.38703703703704,$30.29
nz9iv9en,Public Goods Game - IRB.v2,15.0,8,5,11-08-2017 17:39,24.186666666666667,$18.21
0mv7j8p9,Public Goods Game - IRB.v2,15.0,6,4,11-09-2017 14:45,28.995833333333334,$10.71
6lk8ipmc,Public Goods Game - IRB.v2,15.0,4,2,11-09-2017 15:37,32.03333333333333,$7.44
8ayif8p1,Public Goods Game - IRB.v2,15.0,4,1,11-09-2017 17:58,31.3,$5.11
ybcwk6k2,Public Goods Game - IRB.v2,15.0,12,5,11-10-2017 16:39,27.576666666666664,$20.50
s4b2hm2f,Public Goods Game - IRB.v2,15.0,13,7,11-13-2017 13:59,29.390476190476193,$28.23
j8q7437i,Public Goods Game - IRB.v2,15.0,7,5,11-13-2017 17:26,25.026666666666667,$15.84
