session_code,experiment_type,n_part_requested,n_part_consented,n_part_finished,start_time,duration,total_cost
5ydhsfg6,Public Goods Game - IRB.v2,10,8,6,7/21/17 19:43,22.1,$14.70 
gbwspag3,Public Goods Game - IRB.v2,10,10,7,7/26/17 15:41,107.0166667,$6.23 
89ykytnu,Public Goods Game - IRB.v2,10,10,9,7/27/17 20:32,23.45555556,$25.34 
ef0hzbwg,Public Goods Game - IRB.v2,10,9,5,7/28/17 14:11,22.01333333,$14.51 
jrseoprn,Public Goods Game - IRB.v2,10,8,5,8/8/17 13:48,21.75666667,$13.92 
7tbi6mwd,Public Goods Game - IRB.v2,10,6,5,8/8/17 17:48,22.80333333,$11.27 
pzv22f48,Public Goods Game - IRB.v2,10,7,5,8/16/17 15:05,20.22333333,$15.88 
frec209s,Public Goods Game - IRB.v2,10,9,8,8/16/17 16:57,21.91041667,$18.46 
wzq3kfp9,Public Goods Game - IRB.v2,10,9,7,8/16/17 17:28,26.25,$20.37 
aab8cga3,Public Goods Game - IRB.v2,10,10,5,8/16/17 18:40,26.14,$14.83 
kfn4hfj7,Public Goods Game - IRB.v2,5,4,3,8/24/17 17:02,25.36666667,$5.88 
r7gyn3n4,Public Goods Game - IRB.v2,5,5,4,8/24/17 18:00,24.90416667,$9.75 
vjdla1q9,Public Goods Game - IRB.v2,5,5,4,8/25/17 18:20,24.3875,$13.17 
ehcc5wgj,Public Goods Game - IRB.v2,5,5,4,8/30/17 15:30,18.93333333,$11.25 
ub8pim6i,Public Goods Game - IRB.v2,5,4,3,8/31/17 14:14,20.45,$8.69 
942arxyx,Public Goods Game - IRB.v2,5,3,2,8/31/17 14:20,14.64166667,$7.93 
emwpven2,Public Goods Game - IRB.v2,5,4,4,8/31/17 15:09,29.7,$8.43 
oi2esved,Public Goods Game - IRB.v2,5,3,2,8/31/17 21:12,21.23333333,$4.73 
