participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.anagram_question1,player.distanceScale_before,player.overlapScale_before,player.anagram_question1_solution,player.anagram_hidden,player.anagram_score,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,vkuvgmqo,,0,0,32,,,,,,0,0,,,0,1,,,,a__d,,,0,1,1,pq9oykvd,,,,,,1
2,qrc0chid,,0,0,32,,,,,,0,0,,,0,2,,,,a__d,,,0,1,1,pq9oykvd,,,,,,1
3,3ohz5ey0,,0,0,32,,,,,,0,0,,,0,3,,,,a__d,,,0,1,1,pq9oykvd,,,,,,1
1,z3cvgexd,,0,0,32,,,,,,0,0,,,0,1,,,,a__d,,,0,1,1,uooydyx2,,,,,,1
2,gfefbu8u,,0,0,32,,,,,,0,0,,,0,2,,,,a__d,,,0,1,1,uooydyx2,,,,,,1
3,l39hhlv5,,0,0,32,,,,,,0,0,,,0,3,,,,a__d,,,0,1,1,uooydyx2,,,,,,1
1,trsz1lsc,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-13 17:19:13.449388+00:00,0,1,A29NA4283YJ26D,3U84XHCDIDL1P6R4HLI89OY2PX5Z4U,200,1,a__d,125,100,a__d,5,1,0,1,1,wiii46il,,,3E6L1VR4XWU6DS6O9UCEEA6E99AF62,3WRXIMH6E1FF3XBIUNW7N8C8XFIL4L,,0
2,rfh42wiq,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-13 17:19:13.785851+00:00,0,1,A36TE52PSYAAD6,38BQUHLA9X85US23LG7NFK8YRKNOMC,200,2,a__d,-100,0,a__d,5,1,0,1,1,wiii46il,,,3E6L1VR4XWU6DS6O9UCEEA6E99AF62,3WRXIMH6E1FF3XBIUNW7N8C8XFIL4L,,0
3,pzy76b8o,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-13 17:20:21.727874+00:00,0,1,A17AH7B74XRKX1,3A4NIXBJ777XO7Z68ORVN344WFIMLT,0,3,,9999,9999,a__d,,,0,1,1,wiii46il,,,3E6L1VR4XWU6DS6O9UCEEA6E99AF62,3WRXIMH6E1FF3XBIUNW7N8C8XFIL4L,,0
4,iw66op8a,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-13 17:23:21.719220+00:00,0,1,A319NJPBZ1Z57M,3IKZ72A5B5OH6XAAYE3X55OK497NFQ,230,4,a__d,64,60,a__d,5,1,0,1,1,wiii46il,,,3E6L1VR4XWU6DS6O9UCEEA6E99AF62,3WRXIMH6E1FF3XBIUNW7N8C8XFIL4L,,0
